tail_number,manufacturer,model
"N789SW","Boeing","B-737-7H4"
"N198UW","Airbus","A321-211"
"N681UP","Boeing","B747-1"
"N54711","Boeing","B737-700PAX"
"N390SW","Boeing","B-737-3H4"
"N258FE","Boeing","B727-2"
"N10323","Boeing","B737-300PAX"
"N956NN","Boeing","B737PASSENGER"
"N8616","Boeing","737-800PASSENGERONLY"
"N765AT","Boeing","B727-2"
"N641SW","Boeing","B-737-3H4"
"N493DN","McDonnell-Douglas","MD-82-PSGR"
"N351WQ","Bombardier","Q400"
"N206UW","Boeing","B757-2B7"
"N928EV","Bombardier","CRJ200-2B19"
"N828MH","Boeing","B767-400"
"N730YX","Embraer","ERJ-170-200LR"
"N606AA","Boeing","B757-223PASSENGER"
"N439UA","Airbus","AirbusA320-232PAX"
"N309DQ","Boeing","B-737-7L"
"N156AN","Airbus","A321-231"
"n605xj","Bombardier","CRJ200"
"N903UA","Boeing","B737-5"
"N795WN","Boeing","737-700PASSENGERONLY"
"N688GX","Boeing","B-757-2"
"N555UA","Boeing","B757-222PAX"
"N932AX","McDonnell-Douglas","DC-9-33FCARGO"
"N398CA","Canadair","RJ-700"
"N265FE","Boeing","B727-2"
"N11194","Embraer","ERJ-145XR"
"N961AN","Boeing","B737-823PASSENGER"
"N863FE","Cessna","CE-208B"
"N7702A","Boeing","B-737-7BD"
"N647AM","Boeing","B757-200PASSENGER"
"n8894a","Bombardier","CRJ200"
"N501MG","Bombardier","GlobalEXPress"
"N906XJ","Bombardier","RJ-900"
"N357NP","Boeing","B727-Cargo"
"N802DN","Boeing","737-932ER-PSGR"
"N213SW","Embraer","EMB-120"
"N69819","Boeing","B737-900ERPAX"
"N564NN","GE","CRJ900"
"N931TW","McDonnell-Douglas","SUPER80PASSENGER"
"N8317WN","Boeing","737-800PASSENGERONLY"
"N737WN","Boeing","737-700PASSENGERONLY"
"N610QX","DeHavilland","RJ-700"
"N965WN","Boeing","B-737-7H4"
"N445UP","Boeing","B757-2"
"N8676A","Boeing","B-737-8H4"
"N314NV","Airbus","A319"
"N772FD","Boeing","757-200"
"N16301","Boeing","B737-3"
"N652UA","Boeing","B767-322ERPAX"
"N507JT","Airbus","A320-232-PSGR"
