,flightdate,dayofweek,weather
0,2013-01-01,2,Sunny
1,2013-01-30,3,Moderate or heavy rain shower
2,2013-01-31,4,Overcast
3,2013-01-02,3,Sunny
4,2013-01-03,4,Cloudy
5,2013-01-04,5,Sunny
6,2013-01-03,4,Cloudy
7,2013-01-04,5,Sunny
8,2013-01-06,7,Partly cloudy
9,2013-01-26,6,Sunny
10,2013-01-27,7,Moderate snow
11,2013-01-28,1,Overcast
12,2013-01-29,2,Moderate or heavy rain shower
13,2013-01-30,3,Patchy rain possible
14,2013-01-31,4,Overcast
15,2013-01-03,4,Partly cloudy
16,2013-01-04,5,Clear
17,2013-01-05,6,Patchy rain possible
18,2013-01-06,7,Clear
19,2013-01-07,1,Clear
20,2013-01-08,2,Cloudy
21,2013-01-09,3,Clear
22,2013-01-10,4,Moderate rain at times
23,2013-01-11,5,Partly cloudy
24,2013-01-12,6,Partly cloudy
25,2013-01-13,7,Cloudy
26,2013-01-25,5,Sunny
27,2013-01-27,7,Partly cloudy
28,2013-01-28,1,Cloudy
29,2013-01-29,2,Patchy rain possible
30,2013-01-30,3,Moderate or heavy rain shower
31,2013-01-31,4,Overcast
32,2013-01-17,4,Sunny
33,2013-01-18,5,Partly cloudy
34,2013-01-21,1,Partly cloudy
35,2013-01-22,2,Sunny
36,2013-01-23,3,Overcast
37,2013-01-24,4,Overcast
38,2013-01-25,5,Sunny
39,2013-01-27,7,Partly cloudy
40,2013-01-28,1,Cloudy
41,2013-01-29,2,Patchy rain possible
42,2013-01-30,3,Moderate or heavy rain shower
43,2013-01-03,4,Overcast
44,2013-01-04,5,Sunny
45,2013-01-06,7,Overcast
46,2013-01-07,1,Sunny
47,2013-01-08,2,Sunny
48,2013-01-09,3,Sunny
49,2013-01-10,4,Sunny
50,2013-01-11,5,Patchy rain possible
51,2013-01-13,7,Overcast
52,2013-01-14,1,Sunny
53,2013-01-29,2,Moderate rain at times
54,2013-01-30,3,Patchy rain possible
55,2013-01-31,4,Overcast
56,2013-01-03,4,Overcast
57,2013-01-04,5,Sunny
58,2013-01-07,1,Sunny
59,2013-01-02,3,Sunny
60,2013-01-06,7,Partly cloudy
61,2013-01-07,1,Sunny
62,2013-01-08,2,Sunny
63,2013-01-09,3,Sunny
64,2013-01-10,4,Cloudy
65,2013-01-11,5,Cloudy
66,2013-01-13,7,Partly cloudy
67,2013-01-14,1,Sunny
68,2013-01-15,2,Sunny
69,2013-01-16,3,Cloudy
70,2013-01-17,4,Sunny
71,2013-01-18,5,Sunny
72,2013-01-21,1,Sunny
73,2013-01-22,2,Sunny
74,2013-01-23,3,Overcast
75,2013-01-24,4,Partly cloudy
76,2013-01-25,5,Partly cloudy
77,2013-01-07,1,Sunny
78,2013-01-09,3,Sunny
79,2013-01-10,4,Cloudy
80,2013-01-11,5,Cloudy
81,2013-01-13,7,Partly cloudy
82,2013-01-14,1,Sunny
83,2013-01-16,3,Cloudy
84,2013-01-17,4,Sunny
85,2013-01-18,5,Sunny
86,2013-01-20,7,Overcast
87,2013-01-21,1,Sunny
